Unnamed: 0,Question,A,B,C,D,Answer,Grade,remain
941,Let 3cosα – sinα = 1; 0° < α < 90°. Calculate tanα.,4/3,3/4,4/5,5/4,A,Math 10,True
942,"On the roof of the building there is a 5m high antenna pole. From observation position A 7m above ground level, the top B and foot C of the antenna pole can be observed at angles of 50° and 40° to the ward. horizontal. The height of the building is closest to which of the following values?",12m;,19m;,29m;,24m;,B,Math 10,True
943,"In the Oxy coordinate plane, given two points M(3; -1) and N(2; -5). Which of the following points is collinear with M, N?",P(0; 13),Q(1; -8),H(2; 1),K(3; 1),B,Math 10,True
950,Fill in the appropriate word in the brackets (…) to get a correct statement. “Two vectors in opposite directions then…”,parallel price;,same direction;,have equal length;,have the same price;,B,Math 10,True
952,How many pairs of vectors are not in the same direction in the figure?,3,2,1,0,A,Math 10,True
953,"In the Oxy coordinate plane, given B(1; 2) and C(3; -1). The length of BAC is:",5,3,√13,√15,C,Math 10,True
956,"In the Oxy coordinate plane, given triangle ABC with G as the centroid. Given the coordinates of points A(1;3), B(2;4), G(-3;2). The coordinates of point C are:",C(0; 3);,C(-6; -5);,C(-12; -1);,C(0; 9);,C,Math 10,True
958,"The angle between the vector <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover accent=""true""><mi>a</mi><mo>→</mo></mover><mfenced><mrow><mo>−</mo><mn>1</mn><mo>;</mo><mo>−</mo><mn>1</mn></mrow></mfenced></math> and the vector <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover accent=""true""><mi>b</mi><mo>→</mo></mover><mfenced><mrow><mo>−</mo><mn>1</mn><mo>;</mo><mn>0</mn></mrow></mfenced></math> has the measure:",90°.,0°.,135°.,45°.,D,Math 10,True
959,"In the Oxy coordinate plane, given points A(-1; 3), B(0; 4) and C(2x – 1; 3x^2). The sum of the values of x satisfies AB→.AC→ = 2",-2/3,-8/3,-5/3,1,A,Math 10,True
961,"In the Oxy coordinate plane, given two points M(3; -1) and N(2; -5). Which of the following points is collinear with M, N?",P(0; 13),Q(1; -8),H(2; 1),K(3; 1),B,Math 10,True
962,The coordinates of vertex I of parabola (P): y = x2 + 8x + 12 are,I(– 4; – 4),I(– 1; – 1),I(– 4; 4),I(4; 4),A,Math 10,True
965,The solution of the equation 2x – 3 ≥ 0,5,-3,6,4,C,Math 10,True
971,The sum of the solutions of the equation x² – 2x + 3√(x² – 2x – 3) = 7 is:,1,0,2,2√2,C,Math 10,True
981,The domain of the function y = √(x-2) + 3√((x^2)-1)/3 is,2; +∞,1; +∞,-∞; 1 ∪ 2; +∞,1; 2 ∪ 3; +∞,A,Math 10,True
985,Given set E = {x ∈ ℕ | x is a common divisor of 20 and 40}. How many elements does set E have?,4,5,3,2,B,Math 10,True
986,How many subsets does the set B = {0; a; b} have?,5,6,7,8,D,Math 10,True
994,x ∈ ℝ: x2 + 2 > 12. Which of the following statements is true?,P(2),P(1),P(3),P(4),D,Math 10,True
996,Which of the following sentences is not a clause containing a variable?,x2 + x – 1 > 0,4 < 5,x is a natural number,x + 6 = 12,B,Math 10,True
1003,How many integer values of m satisfy A ∩ B = ∅?,3987,3988,3989,2020,C,Math 10,True
1004,"In the interval [-2020; 2021], how many values of x are there so that the proposition containing the variable P(x) is a true proposition?",2020,2021,2022,2023,A,Math 10,True
1006,A convex quadrilateral has angles that form a geometric progression. The measure of the smallest angle is 1/9 of the measure of the third smallest angle. The measures of the angles in the quadrilateral are respectively,5°; 15°; 45°; 225°,9°; 27°; 81°; 243°,7°; 21°; 63°; 269°,8°; 32°; 72°; 248°,B,Math 11,True
1010,Given a geometric sequence. Which of the following sequences is not a geometric sequence?,"a1, a3, a5, ..., an+1, ...","a1−3, a2−3, a3−3, ..., an−3, ...","2a1, 2a2, 2a3, ..., 2an, ...","∛a1, ∛a2, ∛a3, ..., ∛an, ...",B,Math 11,False
1011,Let S be the set of all values of parameter m so that the equation x^4 − (m+1)x^2 + m = 0 has 4 distinct roots forming an arithmetic progression. The total value of the elements in S is,91/9,9/28,13/9,82/9,D,Math 11,True
1012,Find the units digit of u2018?,6,9,4,3,D,Math 11,False
1013,Which of the following sequences is an arithmetic progression?,"2, 4, 6, 8, ....","2, 4, 8, 16, ...","1, 2, 3, 4, ...","1, 3, 5, 7, ....",B,Math 11,True
1014,"Given a geometric progression with u1=2, q=3. Then the third term of the geometric progression is",12,8,54,18,D,Math 11,True
1016,Given a geometric sequence with u5+u19=90. Calculate the sum of the first 23 terms of the above arithmetic sequence.,1030.,1025.,1035.,1040.,A,Math 11,True
1018,Consider the sequence of consecutive even natural numbers u: 0; 2; 4; 6; 8; .... What term is the number 2018?,2016.,2018.,1010.,1009.,C,Math 11,True
1019,"forest has a wood reserve of 4.10^5 cubic meters. Knowing that the growth rate of trees in that forest is 4% per year. After 5 years, how many cubic meters of wood will the forest have?",4.10^5 . 0.05^5,4 . 10.4^5,4.10^5 . 1.04^4,4.10^5 . 1.4^5,C,Math 11,True
