Question,A,B,C,D,Answer,Grade
"Which relationship does the bold conjunction in the following compound sentence refer to? If I were a bird, I would be a white dove. If I were a flower, I would be a sunflower. If I were a cloud, I would be a warm cloud. As a human, I would die for my homeland.", Concessional relationship, Purpose relationship,Causal relationship, Conditional relationship, D, Literature 8
 Which of the following sentences is not a compound sentence?," I run, it runs too."," Gradually let her go with you, don't keep her anymore."," My heart tightened, my eyes were stinging."," If my sister goes, I will have money to pay taxes.", C, Literature 8
 Which of the following sentences is a compound sentence?,"Adults who smoke in front of children, using cigarettes as a symbol of respect, are pushing their children into crime."," The Royal Army burned the forest to kill the leader of the uprising, and the uprising was suppressed.", Coconut trees are as closely associated with the people of Binh Dinh as bamboo is with the people of the North.," Hue's flower gardens, ornamental plants, tea gardens, and fruit gardens are as green as gems.", A, Literature 8
" Find the main C - V phrase and the secondary C - V phrase in the following sentence. ""How can I forget those pure feelings that blossomed in my heart like fresh flowers smiling in the clear sky."""," CN Chinh: me, VN Chinh: how can I forget those pure feelings that blossomed in my heart","CN Chinh: me, VN Chinh: how can I forget those pure feelings that bloomed in my heart like fresh flowers smiling in the clear sky.", CN side: some fresh flowers, VN sub: smiling under clear sky., B, Literature 8
 Which sentence is a compound sentence?, U van Dan!," If my sister goes, I will have money to pay the tax, and then Mr. Dan will be able to come back to Dan!"," This morning people tied up Mr. Dan like that, did Dan feel sorry?"," If Dan doesn't let go of her, when the village chief comes in here, he will tie her up and tie Dan up too.", B, Literature 8
"There are several compound sentences in the following paragraphs: “The bailiff slapped her in the face, then he jumped next to Mr. Dau. Ms. Dau gritted her teeth: - You tie my husband right now, I'll show you! Then she grabbed his neck and pushed him out the door. The weak strength of the drug addict could not keep up with the pushing strength of the strong woman, he fell flat on the ground, his mouth still mumbling and shouting to tie up the tax-lacking couple…”", 1, 2, 3, 4, B, Literature 8
" To consider whether a sentence is a compound sentence or not, what aspect must we consider?", Consider the phonetic relationship between the sentence clauses., Consider the semantic relationship between the clauses., Consider the grammatical relationship between the clauses., Consider the complementary relationship between the sentence clauses., B, Literature 8
" In the compound sentence, the word ""if"" indicates what kind of relationship?", Cause and effect relationship., Complementary relationship., Ability - condition relationship., Content - form relationship., C, Literature 8
" What method was used to connect compound sentences when the French fled, the Japanese surrendered, and King Bao Dai abdicated?", Use punctuation., Use conditional punctuation and words., Use causal words., Use words with complementary relationships., A, Literature 8
 Which of the following conjunctions is not a type of conjunction used to connect clauses of a compound sentence together?, Causal conjunctions., Conditional conjunctions., Relationship from concession., Conjunctions of manner., A, Literature 8
"Identify the clauses of the compound sentence in the following paragraph: The God of Sun also brings warmth to the flooded area. The water recedes quickly, flowers bloom, birds call their flocks to make nests, bees find flowers to make honey. All things shed their wet coats, happily welcoming the warm rays of sunlight. No one says anything to each other, but the God of Rain and the God of Sun both understand that spring only returns in harmony and love.", 1 side, 2 sides, 3 sides, 4 sides, C, Literature 8
 Point out the compound sentences in the above paragraph., For the following passage:," (1), (2)", The flickering light looked a little dim and pale blue.,The boat drifted slowly so the lights kept changing places., D, Literature 8
" Why can't we determine that the text ""CAY DUA BINH DINH"" is a narrative text (or descriptive, argumentative, expressive)?"," The text introduces things, tends to be objective, and does not depend on personal feelings."," The text respects the truth, does not use personal feelings to change information about the subject"," The text provides knowledge about the characteristics, properties, causes, etc. of BINH DINH COCONUT TREE by presenting, introducing, and explaining."," A, B, C are all correct", D, Literature 8
