Question,A,B,C,D,Answer,Grade,retained
Xét dãy các số tự nhiên chẵn liên tiếp u: 0; 2; 4; 6; 8; .... Số 2018 là số hạng thứ mấy?,2016.,2018.,1010.,1009.,C,Toán 11,True
"Một khu rừng có trữ lượng gỗ là 4.10^5 mét khối. Biết tốc độ sinh trưởng của các cây ở khu rừng đó là 4% mỗi năm. Hỏi sau 5 năm, khu rừng đó sẽ có bao nhiêu mét khối gỗ?",4.10^5 . 0.05^5,4 . 10.4^5,4.10^5 . 1.04^4,4.10^5 . 1.4^5,C,Toán 11,True
Tổng 1+2+2^2+...+2^2017 có giá trị bằng,2^2018.,2^2017.,2^2018−1.,2^2017−1.,C,Toán 11,True
Tổng 1+2+2^2+...+2^2017 có giá trị bằng,2^2017-1,2^2017,2^2018-1,2^2018,C,Toán 11,True
Cho cấp số cộng u có u1=123 và u3−u15=84. Số hạng u17 là,4,242,11,235,C,Toán 11,True
Ba số hạng liên tiếp của một cấp số cộng có tổng bằng -9 và tổng các bình phương của chúng bằng 29. Tìm số hạng đầu tiên,-3 hoặc – 6,-4 hoặc -2,-1 hoặc -5,-4 hoặc - 7,B,Toán 11,True
Cho tam giác ABC biết 3 góc của tam giác lập thành một cấp số cộng và có góc nhỏ nhất bằng 25°. Tìm 2 góc còn lại?,65° ; 90°.,75° ; 80°.,60° ; 95°.,55°; 100°.,C,Toán 11,True
"Cho cấp số cộng (u<sub>n</sub>) có: u<sub>1</sub> = -0,1; d = 0,1. Số hạng thứ 7 của cấp số cộng này là:","1, 6",6,"0,5","0,6",C,Toán 11,True
Tính giới hạn lim x→−2− 3+2x / x+2,2,-∞,#ERROR!,3/2,C,Toán 11,True
"Trong các giới hạn dãy số dưới đây, giới hạn có kết quả đúng là",-3n^4 + 3,-3n^4 + 3 = 0,-n^4 + 2 = +∞,5n^4 - 2 = -∞,A,Toán 11,True
"Trong các hàm số sau, hàm số nào liên tục tại x=1?",y=√(x+3),y=(x+5)/(x-1),y=3x/((x^2)+x-2),y=√(x-4),A,Toán 11,True
Tính lim x→+∞ −2x3−4x2+5.,2,3,-∞,#ERROR!,C,Toán 11,True
Giá trị của lim 1/n^k bằng,4,0,2,5,B,Toán 11,True
"Cho dãy số u_n, v_n thỏa lim u_n = 2, lim v_n = 1. Tính lim 2u_n − 3v_n.",1,2,3,7,A,Toán 11,True
"Cho lim x→1 (sqrt(x+1) - 2) / (2 - x) = sqrt(a) - b với a, b ∈ ℕ, 0 ≤ a, b ≤ 3, khi đó a + 2b bằng",3,6,4,2,B,Toán 11,True
Cho hàm số f(x) = (x^3 - x^2 + 2x - 2)/(x - 1)  để f(x) liên tục tại x = 1 thì m bằng,1,0,2,-1,B,Toán 11,True
"Trong các giới hạn dưới đây, giới hạn nào bằng +∞?",2x-1/(4-x),-x^3 + 2x + 3,x^2 + x + 1/(x-1),2x-1/(4-x),A,Toán 11,True
Hàm số y=2−sin2x có tập xác định ℝ khi,m>0,0<m<1,m≠-1,-1<m<1,D,Toán 11,True
Hàm số y=tan x đồng biến trên khoảng:,0;π/2,0;π/2,0;3π/2,-3π/2;π/2,A,Toán 11,True
Nghiệm của phương trình cos4x+12sin2x−1=0 là,x=kπ2,x=π2+kπ,x=kπ,x=2kπ,C,Toán 11,True
Phương trình 3sin2x+mcos2x=5 vô nghiệm khi và chỉ khi:,−4<m<4,m≥4,m≤4,m∈ℝ,A,Toán 11,True
Số nghiệm của phương trình 2sinx−2cosx=√2 thuộc đoạn [0;π/2] là,2,0,3,1,D,Toán 11,True
Số nghiệm của phương trình cos2x+5sinx=4 thuộc đoạn [0;2π] là,2,3,1,0,C,Toán 11,True
Giá trị m để phương trình 5sinx−m= tan2x sinx−1 có đúng 3 nghiệm thuộc −π;là,0≤m≤5,0≤m≤5,0≤m≤11/2,-1<m≤6,C,Toán 11,True
Có bao nhiêu giá trị nguyên của m để phương trình cos2x+sinx+m=0 có nghiệm x∈[-π/6;π/4],2,1,0,3,A,Toán 11,True
Một hộp chứa chín chiếc thẻ được đánh số từ 1 đến 9. Lấy ngẫu nhiên (đồng thời) hai thẻ. Số phần tử của không gian mẫu là,81,9,36,72,C,Toán 11,True
"Cho hai đường thẳng song song d1, d2. Trên d1 lấy 5 điểm phân biệt tô màu xanh, trên d2 lấy 8 điểm phân biệt tô màu đỏ. Xét tất cả các tam giác có đỉnh lấy từ các điểm trên. Chọn ngẫu nhiên một tam giác. Tính xác suất để tam giác được chọn có đúng hai đỉnh màu xanh.",5/11,5/143,7/11,4/11,D,Toán 11,True
"Đội học sinh giỏi cấp trường môn Tiếng Anh của trường THPT chuyên Vĩnh Phúc gồm 8 học sinh khối 10, 8 học sinh khối 11 và 8 học sinh khối 12. Nhà trường cần chọn 10 học sinh tham gia câu lạc bộ tiếng Anh của trường. Tính số cách chọn sao cho có học sinh cả ba khối và có nhiều nhất 2 học sinh khối 10.",1961256,451824,451880,459888,B,Toán 11,True
"Có 3 xạ thủ bắn độc lập vào bia. Xác suất bắn trúng của mỗi xạ thủ lần lượt là 0,6; 0,8 và 0,9. Tính xác suất để trong 3 xạ thủ có đúng 2 xạ thủ bắn trúng bia.","0,568","0,876","0,7","0,444",D,Toán 11,True
Hệ số x^7 của trong khai triển (4−x)^9 là,9C9.7.,-16C9.7.,-9C9.7.,16C9.7.,D,Toán 11,True
Giải bóng đá ngoại hạng Anh có 20 đội bóng tham gia thi đấu vòng tròn 2 lượt. Hỏi có bao nhiêu trận đấu sẽ được tổ chức?,40,190,380,400,C,Toán 11,True
"Có bao nhiêu cách sắp xếp năm bạn An, Bình, Châu, Dung và Đức đứng thành một hàng ngang?",25.,20.,120.,24.,C,Toán 11,True
Cho khai triển 1+2x^10 = a0 + a1x + ... + a10x^10. Khi đó giá trị của a1 bằng bao nhiêu?,320,10,20,5120,C,Toán 11,True
Số cách sắp xếp 4 nam sinh và 3 nữ sinh vào một dãy ghế hàng ngang có 7 chỗ ngồi là,7!,4! .3!,12!,4!+3!,A,Toán 11,True
Gieo hai con súc sắc cân đối đồng chất. Tính xác suất để hiệu số chấm xuất hiện của hai con súc sắc bằng 1.,5/36,5/9,5/18,1/9,C,Toán 11,True
"Một trường THPT có 4 học sinh giỏi toán là nam, 5 học sinh giỏi văn là nam và 3 học sinh giỏi văn là nữ. Cần chọn 3 em đi dự đại hội ở Tỉnh. Tính xác suất để trong 3 em được chọn có cả nam lẫn nữ, có cả học sinh giỏi toán và học sinh giỏi văn.",3/44,3/22,9/22,18/55,C,Toán 11,True
Tìm hệ số lớn nhất trong khai triển (a+b)n biết tổng các hệ số bằng 4096.,792.,462.,924.,1716.,C,Toán 11,True
"Trên bàn có 8 cây bút chì khác nhau, 6 cây bút bi khác nhau và 10 cuốn tập khác nhau. Một học sinh muốn chọn một đồ vật duy nhất hoặc một cây bút chì hoặc một cây bút bi hoặc một cuốn tập thì số cách chọn khác nhau là:",480,24,48,60,B,Toán 11,True
"Trong một cuộc thi tìm hiểu về đất nước Việt Nam, ban tổ chức công bố danh sách các đề tài bao gồm: 8 đề tài về lịch sử, 7 đề tài về thiên nhiên, 10 đề tài về con người và 6 đề tài về văn hóa. Mỗi thí sinh được quyền chọn một đề tài. Hỏi mỗi thí sinh có bao nhiêu khả năng lựa chọn đề tài?",20,3360,31,30,C,Toán 11,True
"Một người vào cửa hàng ăn, người đó chọn thực đơn gồm một món ăn trong 5 món, một loại quả tráng miệng trong 5 loại quả tráng miệng và một nước uống trong 3 loại nước uống. Có bao nhiêu cách chọn thực đơn.",25,75,100,15,B,Toán 11,True
Có bao nhiêu cách xếp khác nhau cho 4 người ngồi vào 6 chỗ trên một bàn dài?,15,720,30,360,D,Toán 11,True
"Trong khai triển nhị thức (a + 2)n + 6, (n ∈ N). Có tất cả 17 số hạng. Vậy n bằng:",17,11,10,12,C,Toán 11,True
Tìm hệ số của x5 trong khai triển P(x) = x(1 - 2x)5 + x2(1 + 3x)10,80,3240,3320,259200,C,Toán 11,True
Đạo hàm của hàm số y=x là,y'=2√x.,y'=1√x.,y'=1/(2√x).,y'=2√x.,C,Toán 11,True
Hàm số y=sin(x)+x có đạo hàm là,-cos(x)+1,cos(x)+1,sin(x)+x,sin(x)+1,B,Toán 11,True
Cho hàm số y= f (x) có đạo hàm đến cấp 2 trên tập số thực. Tìm hệ thức đúng.,f''(1) = lim x→1 (f(x) - f(1))/(x - 1).,f''(1) = lim x→1 ((f'(x) - f'(1))/(x - 1)).,f''(1) = lim x→1 (f(x)/x).,f''(1) = lim x→1 ((f(1))/(x - 1)).,B,Toán 11,True
Cho hàm số y=1/2x^4−mx−3x/2. Có bao nhiêu giá trị nguyên dương của tham số m để y′≥0 với mọi x thuộc khoảng 0;+∞?,5,3,0,4,A,Toán 11,True
"Cho hàm số f(x)=a*x^3+b*x^3/3+c*x^2. Biết f(2)=95/4, f'(1)=16, f''(-1)=8. Khi đó tính tổng a+b+c.",1,2,0,3,B,Toán 11,True
Cho hàm số f(x)=√x²+3. Tính giá trị của biểu thức S=f(1)+4f'(1).,2.,4.,6.,8.,B,Toán 11,True
Vi phân của hàm số y=cos2x+cotx là,-2cos2x+1/sin2x,2sin2x+1/sin2x,-2cos2x-1/sin2x,-2sin2x-1/sin2x,D,Toán 11,True
Tính f''0.,132.,528.,240.,264.,B,Toán 11,True
Hệ số góc của tiếp tuyến của đồ thị hàm số y=x-1/(x+1) tại điểm có hoành độ x0=0 là,1,-2,-1,2,D,Toán 11,True
Tìm số gia Δy của hàm số y=x² biết x0=3 và Δx=-1.,13.,7.,−5.,16.,C,Toán 11,True
Cho hàm số y=cos√2x2−x+7. Khi đó y' bằng,−sin√2x2−x+7.,1−4x sin√2x2−x+7.,−2x2−x+7 sin√2x2−x+7.,2x2−x+7 sin√2x2−x+7.,C,Toán 11,True
Tiếp tuyến của đồ thị hàm số y=x^3+2x−4 tại điểm M(0;-4) có phương trình là,y=2x−2.,y=2x+4.,y=2x.,y=2x−4.,D,Toán 11,True
Đạo hàm của hàm số y=1/2sin2x+cosx tại x0=π/2,-1,2,0,-2,D,Toán 11,True
Số gia của hàm số y = x² - 1 tại điểm x = 0 = 2 ứng với số gia Δ bằng bao nhiêu?,"-0,01","0,41","0,99","11,1",B,Toán 11,True
Hệ số góc của tiếp tuyến với đồ thị hàm số y = x4+ x3- 2x2+ 1 tại điểm có hoành độ -1 là:,11,4,3,-3,A,Toán 11,True
Cho f(x) = cos2x - sin2x. Biểu thức có giá trị là bao nhiêu?,-2,0,1,2,A,Toán 11,True
Đạo hàm của hàm số y = (x<sup>5</sup> - 2x<sup>2</sup>)<sup>2</sup> bằng biểu thức nào sau đây?,10x<sup>9</sup> + 16x<sup>3</sup>,10x<sup>9</sup> - 14x<sup>6</sup> + 16x<sup>3</sup>,10x<sup>9</sup> - 28x<sup>6</sup> + 16x<sup>3</sup>,10x<sup>9</sup> - 28x<sup>6</sup> + 8x<sup>3</sup>,C,Toán 11,True
"Cho tứ diện đều ABCD có cạnh bằng 3. Gọi M, N là hai điểm thay đổi lần lượt thuộc cạnh BC, BD sao cho mặt phẳng (AMN) luôn vuông góc với mặt phẳng (BCD). Gọi V1, V2 lần lượt là giá trị lớn nhất và nhỏ nhất của thể tích khối tứ diện ABMN. Tính V1 + V2?",17√2/8,51√2/16,√2/4,51√2/8,A,Toán 12,True
"Khối chóp tam giác có độ dài 3 cạnh xuất phát từ một đỉnh là a, 2a, 3a có thể tích lớn nhất bằng:",4a^3,2a^3,a^3,6a^3,C,Toán 12,True
"Cho khối lập phương có thể tích bằng 27, diện tích toàn phần của khối lập phương đã cho bằng:",75,36,18,54,D,Toán 12,True
"Cho hình chóp S.ABC có đáy ABC vuông tại A và SB vuông góc với đáy. Biết SB = a, SC hợp với (SAB) một góc 30° và (SAC) hợp với đáy (ABC) một góc 60°. Thể tích của khối chóp là:",a³√3/27,a³√3/9,a³/27,a³/9,A,Toán 12,True
"Cho tứ diện ABCD có A.D = 14, B.C = 6. Gọi M, N lần lượt là trung điểm của các cạnh AC, BD và MN = 8. Gọi là góc giữa hai đường thẳng BC và MN. Tính ",2√2/3,√3/2,1/2,√2/4,B,Toán 12,True
"Cho hình chóp tứ giác S.ABCD có đáy ABCD là hình vuông cạnh a,  và . Thể tích của khối chóp S.ABCD bằng:",a³√6/6,a³√6,a³√6/3,a³√6/2,C,Toán 12,True
"Cho hình chóp S.ABC có đáy ABC là tam giác vuông cạnh C, A B = a√5, A C = a. Cạnh bên S A = 3 a và vuông góc với mặt phẳng đáy. Thể tích của khối chóp S.ABC bằng:",a√5/2a^3,3a^3,a^3,2a^3,C,Toán 12,True
Tìm giá trị lớn nhất của hàm số f(x) = x^3 - 2x^2 - 4x + 1 trên đoạn [1; 3].,-7,-2,-4,67/27,B,Toán 12,True
Tìm giá trị nhỏ nhất m và giá trị lớn nhất M của hàm số y=f(x) trên đoạn [-2;2],"-5, 0","-5, -1","-1, 0","-2, 2",B,Toán 12,True
Tiếp tuyến của đồ thị hàm số y=x^3−3x+2 vuông góc với đường thẳng y=−1/9x là,"y=−1/9x+18,y=−1/9x+5","y=1/9x+18,y=1/9x−14","y=9x+18,y=9x−14","y=9x+18,y=9x+5",C,Toán 12,True
Cho hàm số y=2/(1-x) có đồ thị hàm số (C). Viết phương trình tiếp tuyến của (C) tại giao điểm của (C) và trục tung.,y=2x+2,y=x+2,y=-2x+2,y=2x-2,A,Toán 12,True
Phương trình tiếp tuyến của đồ thị hàm số y=x^3−3x^2+1 tại điểm A(3;1) là:,y=−9x−26,y=9x−26,y=−9x−3,y=9x+2,B,Toán 12,True
"Gọi S là tập hợp các giá trị của hàm số m sao cho đường thẳng y = mx - m - 3 cắt đồ thị y = 2x^3 - 3x^2 - 2 tại ba điểm phân biệt A, B, I mà tiếp tuyến với tại A và tại B vuông góc với nhau. Tính tổng các phần tử của S.",-1,1,2,5,A,Toán 12,True
Cho hàm số y = -x^2 - 4x + 3 có đồ thị (C). Nếu tiếp tuyến tại M của (C) có hệ số góc bằng 8 thì hoành độ điểm M là:,12,-6,-1,5,B,Toán 12,True
Cho hàm số y = x^3 - 3x^2 + 1. Tích các giá trị cực đại và giá trị cực tiểu của hàm số bằng,-6,-3,0,3,B,Toán 12,True
Số đường thẳng đi qua điểm A(0; 3) và tiếp xúc với đồ thị hàm số y = x^4 - 2x^2 + 3 là:,0,1,2,3,D,Toán 12,True
"Trong các tiếp tuyến tại các điểm trên đồ thị hàm số y = x^3 - 3x^2 + 2, tiếp tuyến có hệ số góc nhỏ nhất bằng:",-3,3,-4,0,A,Toán 12,True
Hàm số y=(x^2−16)^−5−ln(24−5x−x^2) có tập xác định là:,-8;−4∪3;+∞,-∞;−4∪3;+∞,-8;3∪−4,-4;3,C,Toán 12,True
"Tìm tập nghiệm S của hệ phương trình 3^x = 27.3^y, log(x+2y) = log5 + log3",7;4,4;7,6;3,9;6,A,Toán 12,True
Cho log2 3 = a; log2 7 = b. Tính log2 2016 theo a và b,5 + 2a + b,5 + 3a + 2b,2 + 2a + 3b,2 + 3a + 2b,A,Toán 12,True
Tìm tất cả các giá trị thực của tham số m để phương trình sau có hai nghiệm thực phân biệt: log3(1-x^2) + log(1/3)(x+m-4) = 0,-1/4 < m < 0,5 ≤ m ≤ 21/4,5 < m < 21/4,-1/4 ≤ m ≤ 2,C,Toán 12,True
Hàm số y = log2(4x−2x+m) có tập xác định D = R khi:,m>1/4,m>0,m≥1/4,m<1/4,A,Toán 12,True
Tìm tích tất cả các nghiệm của phương trình 4.3log100x2 + 9.4log10x = 13.6(1 + logx),100,10,1,1/10,C,Toán 12,True
Diện tích hình phẳng giới hạn bởi y = (x - 6)² và y = 6x - x² là:,9,9/2,0,Kết quả khác,A,Toán 12,True
Nếu logx - 5log3 = -2 thì x bằng,"0,8","0,81","1,25","2,43",D,Toán 12,True
Quay đường cong nào sau đây quanh trục đối xứng của nó ta sẽ được một mặt cầu?,Elip,Parabol,Đường tròn,Nửa đường tròn,C,Toán 12,True
Cho hai đường thẳng d và d’ cắt nhau tại điểm O và góc giữa hai đường thẳng là α. Quay đường thẳng d’ quanh d thì ta được mặt nón có góc ở đỉnh bằng:,2α,α,α/2,4α,A,Toán 12,True
"Cho tam giác ABC vuông tại A, AH là đường cao. Khi quay các cạnh của tam giác ABC quanh cạnh BC thì số hình nón được tạo thành là mấy hình?",1,0,3,2,D,Toán 12,True
"Một hình nón đỉnh S có bán kính đáy bằng 2a√3, góc ở đỉnh là 120°. Thiết diện qua đỉnh của hình nón là một tam giác. Diện tích lớn nhất Smax của thiết diện đó là bao nhiêu?",8a^2,4a^2√2,4a^2,16a^2,A,Toán 12,True
