Question,A,B,C,D
"Người điều khiển xe mô tô hai bánh, xe gắn máy được phép chở tối đa 2 người trong trường hợp nào?",Chở người bệnh đi cấp cứu; trẻ em dưới 1 tuổi,Áp giải người có hành vi vi phạm pháp luật,Cả ý 1 và ý 2,
"Người điều khiển xe mô tô hai bánh, xe gắn máy không được thực hiện những hành vi nào dưới đây?","Đi vào phần đường dành cho người đi bộ và phương tiện khác; sử dụng ô, điện thoại di động, thiết bị âm thanh (trừ thiết bị trợ thính), đi xe dàn hàng ngang","Chở 02 người; trong đó, có người bệnh đi cấp cứu hoặc trẻ em dưới 14 tuổi hoặc áp giải người có hành vi vi phạm pháp luật",Điều khiển phương tiện tham gia giao thông trên đường tỉnh lộ hoặc quốc lộ,
"Người điều khiển xe mô tô hai bánh, xe gắn máy có được đi xe dàn hàng ngang; đi xe vào phần đường dành cho người đi bộ và phương tiện khác; sử dụng ô, điện thoại di động, thiết bị âm thanh (trừ thiết bị trợ thính) hay không?",Được phép nhưng phải đảm bảo an toàn,Không được phép,"Được phép tùy từng hoàn cảnh, điều kiện cụ thể",
Người lái xe phải giảm tốc độ thấp hơn tốc độ tối đa cho phép (có thể dừng lại một cách an toàn) trong trường hợp nào dưới đây?,"Khi có báo hiệu cảnh báo nguy hiểm hoặc có chướng ngại vật trên đường; khi chuyển hướng xe chạy hoặc tầm nhìn bị hạn chế; khi qua nơi đường giao nhau, nơi đường bộ giao nhau với đường sắt; đường vòng; đường có địa hình quanh co, đèo dốc","Khi qua cầu, cống hẹp; khi lên gần đỉnh dốc, dân cư, khu vực đang thi công trên đường bộ; hiện trường xảy ra tai nạn giao thông","Khi điều khiển xe vượt xe khác trên đường quốc lộ, đường cao tốc",Cả ý 1 và ý 2
"Khi gặp một đoàn xe, một đoàn xe tang hay gặp một đoàn người có tổ chức theo đội ngũ, người lái xe phải xử lý như thế nào?","Từ từ đi cắt qua đoàn người, đoàn xe","Không được cắt ngang qua đoàn người, đoàn xe",Báo hiệu từ từ cho xe đi cắt qua đến bảo đảm an toàn,
"Tại ngã ba hoặc ngã tư không có đảm bảo an toàn, người lái xe phải nhường đường như thế nào là đúng trong các trường hợp dưới đây?","Nhường đường cho người đi bộ đang đi trên phần đường dành cho người đi bộ sang đường; nhường đường cho xe đi trên đường ưu tiên, đường chính từ bất kỳ hướng nào tới; nhường đường cho xe ưu tiên, xe đi từ bên phải đến","Nhường đường cho người đi bộ đang đứng chờ đi qua phần đường dành cho người đi bộ sang đường; nhường đường cho xe đi trên đường ngược chiều, đường nhánh từ bất kỳ hướng nào tới; nhường đường cho xe đi từ bên trái đến",Không phải nhường đường,
Khi điều khiển xe cơ giới người lái xe phải bật đèn tín hiệu rẽ nào trong các trường hợp nào sau đây?,Khi cho xe chạy thẳng,Trước khi thay đổi làn đường,Sau khi thay đổi làn đường,
"Trên đoạn đường hai chiều không có dải phân cách giữa, người lái xe không được vượt xe khác trong các trường hợp nào dưới đây?",Xe bị vượt bất ngờ tăng tốc độ và cố tình không nhường đường,Xe bị vượt giảm tốc độ và nhường đường,Phát hiện có xe đi ngược chiều,Cả ý 1 và ý 3
"Khi lái xe trên đường vắng mà cảm thấy buồn ngủ, người lái xe nên chọn cách xử lý như thế nào cho phù hợp?",Tăng tốc độ kết hợp với nghe nhạc và đi tiếp,Quan sát và dừng xe tại nơi quy định; nghỉ cho đến khi hết buồn ngủ và đi tiếp,Sử dụng một ít rượu hoặc bia để hết buồn ngủ và đi tiếp,
"Trên đường cao tốc, người lái xe xử lý như thế nào khi đã vượt quá lối ra của đường định rẽ?","Quay xe, chạy trên lề đường bên phải và rẽ khỏi đường cao tốc",Lùi xe sát lề đường bên phải và rẽ khỏi đường cao tốc,Tiếp tục chạy đến lối rẽ tiếp theo,
Người lái xe mô tô xử lý như thế nào khi cho xe mô tô phía sau vượt?,"Nếu đủ điều kiện an toàn, người lái xe phải giảm tốc độ, đi sát về bên phải của phần đường xe chạy cho đến khi xe sau đã vượt qua, không được gây trở ngại đối với xe xin vượt","Lái xe vào lề đường bên trái và giảm tốc độ để xe phía sau vượt qua, không được gây trở ngại đối với xe xin vượt","Nếu đủ điều kiện an toàn, người lái xe phải tăng tốc độ, đi sát về bên phải của phần đường xe chạy cho đến khi xe sau đã vượt qua",
"Khi xe ô tô bị hỏng tại vị trí giao nhau giữa đường bộ và đường sắt, người lái xe xử lý như thế nào?","Nhanh chóng đặt báo hiệu trên đường sắt cách tối thiểu 500 mét về hai phía để báo cho người điều khiển phương tiện đường sắt và tìm cách báo cho người quản lý đường sắt, nhà ga nơi gần nhất, đồng thời phải bằng mọi biện pháp nhanh chóng đưa ô tô hỏng ra khỏi phạm vi an toàn đường sắt",Nhanh chóng đặt biển cảnh báo nguy hiểm tại vị trí xe ô tô bị hỏng để đoàn tàu dừng lại,Liên hệ ngay với đơn vị cứu hộ để đưa ô tô hỏng ra khỏi phạm vi an toàn đường sắt,
"Trong các trường hợp dưới đây, để đảm bảo an toàn khi tham gia giao thông, người lái xe mô tô cần thực hiện như thế nào?","Phải đội mũ bảo hiểm đạt chuẩn, có cài quai đúng quy cách, mặc quần áo gọn gàng; không sử dụng ô, điện thoại di động, thiết bị âm thanh (trừ thiết bị trợ thính)","Phải đội mũ bảo hiểm khi trời mưa gió hoặc trời quá nắng; có thể sử dụng ô, điện thoại di động thiết bị âm thanh nhưng đảm bảo an toàn",Phải đội mũ bảo hiểm khi cảm thấy mất an toàn giao thông hoặc khi chuẩn bị di chuyển quãng đường xa,
Đường bộ trong khu vực đông dân cư gồm những đoạn đường nào dưới đây?,Là đoạn đường nằm trong khu công nghiệp có đông người và phương tiện tham gia giao thông và được xác định cụ thể bằng biển chỉ dẫn địa giới,"Là đoạn đường bộ nằm trong khu vực nội thành phố, nội thị xã, nội thị trấn và những đoạn đường có dân cư sinh sống sát dọc theo đường, có các loại hoạt động có thể ảnh hưởng đến giao thông đường bộ và được xác định bằng biển báo là đường qua khu đông dân cư","Là đoạn đường nằm ngoài khu vực nội thành phố, nội thị xã có đông người và phương tiện tham gia giao thông và được xác định cụ thể bằng biển chỉ dẫn địa giới",
"Tốc độ tối đa cho phép đối với xe máy chuyên dùng, xe gắn máy (kể cả xe máy điện) và các loại xe tương tự trên đường bộ (trừ đường cao tốc) không được vượt quá bao nhiêu km/h?",50 km/h,40 km/h,60 km/h,
"Trên đường bộ (trừ đường cao tốc) trong khu vực đông dân cư, đường đôi có dải phân cách giữa, xe mô tô hai bánh, ô tô chở người đến 30 chỗ tham gia giao thông với tốc độ tối đa cho phép là bao nhiêu?",60 Km/h,50 Km/h,40 Km/h,
"Trên đường bộ (trừ đường cao tốc) trong khu vực đông dân cư, đường hai chiều không có dải phân cách giữa, xe mô tô hai bánh, ô tô chở người đến 30 chỗ tham gia giao thông với tốc độ tối đa cho phép là bao nhiêu?",60 Km/h,50 Km/h,40 Km/h,
"Trên đường bộ (trừ đường cao tốc) trong khu vực đông dân cư, đường hai chiều hoặc đường một chiều có một làn xe cơ giới, loại xe nào tham gia giao thông được đi với tốc độ tối đa cho phép là 50 km/h?","Ô tô con, ô tô tải, ô tô chở người trên 30 chỗ","Xe gắn máy, xe máy chuyên dùng",Cả ý 1 và ý 2,
"Trên đường bộ (trừ đường cao tốC. trong khu vực đông dân cư, đường đôi hoặc đường một chiều có từ hai làn xe cơ giới trở lên, loại xe nào tham gia giao thông với tốc độ tối đa cho phép là 60km/h?","Ô tô con, ô tô tải, ô tô chở người trên 30 chỗ","Xe gắn máy, xe máy chuyên dùng",Cả ý 1 và ý 2,
"Trên đường bộ (trừ đường cao tốc) ngoài khu vực đông dân cư, đường đôi có dải phân cách giữa, loại xe nào được tham gia giao thông với tốc độ tối đa cho phép là 90 km/h?","Ô tô chở người trên 30 chỗ (trừ ô tô buýt), ô tô tải có trọng tải trên 3.500 kg","Xe ô tô con, xe ô tô chở người đến 30 chỗ (trừ ô tô buýt), ô tô tải có trọng lượng đến 3.500 kg","Ô tô buýt, ô tô đầu kéo, kéo sơ mi rơ moóc, ô tô chuyên dùng, xe mô tô",
"Trên đường bộ ngoài khu vực đông dân cư, đường đôi có dải phân cách giữa (trừ đường cao tốc), loại xe nào tham gia giao thông với tốc độ tối đa cho phép là 80 km/h?","Ô tô buýt, ô tô đầu kéo, kéo sơ mi rơ moóc, ô tô chuyên dùng, xe mô tô","Ô tô chở người trên 30 chỗ (trừ ô tô buýt), ô tô tải có trọng tải trên 3.500 kg (trừ ô tô xi téc)","Ô tô kéo rơ moóc, ô tô kéo xe khác, xe gắn máy","Xe ô tô con, xe ô tô chở người đến 30 chỗ (trừ ô tô buýt), ô tô tải có trọng tải đến 3500 kg"
"Trên đường bộ ngoài khu vực đông dân cư, đường đôi có dải phân cách giữa (trừ đường cao tốc), loại xe nào tham gia giao thông với tốc độ tối đa cho phép là 70km/h","Ô tô buýt, ô tô đầu kéo, kéo sơ mi rơ moóc, ô tô chuyên dùng (trừ ô tô trộn vữa, ô tô trộn bê tông), xe mô tô","Ô tô kéo rơ moóc, ô tô kéo xe khác, xe gắn máy","Ô tô chở người trên 30 chỗ (trừ ô tô buýt), ô tô tải có trọng tải trên 3.500 kg","Xe ô tô con, xe ô tô chở người đến 30 chỗ (trừ ô tô buýt), ô tô tải có trọng tải đến 3500 kg"
"Trên đường bộ ngoài khu vực đông dân cư, đường đôi có dải phân cách giữa (trừ đường cao tốC., loại xe nào tham gia giao thông với tốc độ tối đa cho phép là 60 km/h","Ô tô kéo rơ moóc, ô tô kéo xe khác, ô tô trộn vữa, ô tô trộn bê tông, ô tô xi téc",Ô tô chở người trên 30 chỗ (trừ ô tô buýt) ô tô tải có trọng lượng tải lên đến 3500kg,"Xe ô tô con, xe ô tô chở người đến 30 chỗ (trừ xe buýt), ô tô tải có trọng tải nhỏ hơn hoặc bằng 3.500kg",
"Trên đường bộ ngoài khu vực đông dân cư, đường hai chiều không có dải phân cách giữa; đường một chiều có một làn xe cơ giới (trừ đường cao tốc) loại xe nào tham gia giao thông với tốc độ tối đa cho phép là 80 km/h","Ô tô kéo rơ moóc, ô tô kéo xe khác, xe gắn máy","Ô tô chở người trên 30 chỗ (trừ ô tô buýt), ô tô tải có trọng tải trên 3.500kg","Xe ô tô con, xe ô tô chở người đến 30 chỗ (trừ xe buýt), ô tô có trọng tải nhỏ hơn hoặc bằng 3.500kg",
