Câu hỏi,A,B,C,D,Answer,Grade,retained
"Cho hình chóp đều S.ABCD có diện tích đáy là 16 cm², diện tích một mặt bên là 8√3 cm². Thể tích khối chóp S.ABCD là:",32√2/3 cm³,32√13/3 cm³,32√11/3 cm³,4 cm³,C,Toán 12,False
Trong các mệnh đề sau mệnh đề nào sai:,Hình lăng trụ đều có cạnh bên vuông góc với đáy.,Hình lăng trụ đều có các mặt bên là các hình chữ nhật.,Hình lăng trụ đều có các cạnh bên bằng đường cao của lăng trụ.,Hình lăng trụ đều có tất cả các cạnh đều bằng nhau,D,Toán 12,False
"Kim tự tháp Kê-ốp ở Ai Cập được xây dựng vào khoảng 2500 năm trước công nguyên. Kim tự tháp này là một hình chóp tứ giác đều có chiều cao là 147m, cạnh đáy dài 230m. Tính thể tích của nó",2 592 100m³,52900 m³,7776300 m³,1470000 m³,A,Toán 12,False
Tìm tất cả các giá trị của tham số m để đồ thị hàm số y = x - 1 cắt trục hoành tại ba điểm phân biệt.,m ∈ 4; +∞.,m ∈ -∞; -1/2 ∪ -1/2; 0.,m ∈ 0; 4.,m ∈ -∞; -1/2 ∪ -1/2; 0 ∪ 4; +∞.,D,Toán 12,False
Hàm số y=f(x) nghịch biến trên khoảng nào dưới đây?,-2; 0,-∞; -2,0; 2,0; +∞,A,Toán 12,False
Khẳng định nào sau đây là khẳng định đúng?,Hàm số đồng biến trên khoảng (-∞; 1) ∪ (1; +∞).,Hàm số đồng biến trên khoảng (-∞; 2) ∪ (2; +∞).,Hàm số đồng biến trên khoảng (-∞; -1) và (1; +∞).,Hàm số đồng biến trên ℝ{1}.,C,Toán 12,False
Tìm tất cả các giá trị thực của tham số m sao cho hàm số luôn nghịch biến trên ℝ?,-3 ≤ m ≤ 1,m ≤ 1,-3 < m < 1,m ≤ -3; m ≥ 1,A,Toán 12,False
Tìm tất cả các giá trị thực của tham số m sao cho hàm số y = x + mcosx luôn đồng biến trên ℝ?,m ≤ 1,m > √3/2,m ≥ 1,m < 1/2,A,Toán 12,False
Đồ thị của hàm số y = -x^3 + 3x^2 +5x có hai điểm cực trị A và B. Tính diện tích S của tam giác OAB với O là gốc tọa độ.,S = 9,S = 10/3,S = 5,S = 10,C,Toán 12,False
Cực đại (giá trị cực đại) của hàm số y = -x^4 + 2x^2 - 2 bằng,1,-1,-2,0,B,Toán 12,False
"Hàm số y = f(x) xác định, liên tục trên R và có bảng biến thiên",Hàm số có đúng một cực trị,Hàm số có giá trị cực tiểu bằng 1,Hàm số có giá trị lớn nhất bằng 0 và giá trị nhỏ nhất bằng -1,Hàm số đạt cực đại tại x = 0 và đạt cực tiểu tại x = 1,D,Toán 12,False
Tìm giá trị lớn nhất của hàm số f(x) = x^3 - 2x^2 - 4x + 1 trên đoạn [1; 3].,-7,-2,-4,67/27,B,Toán 12,True
Tìm tập giá trị T của hàm số f(x) = x2 + 2/x với x ∈ [3; 5].,[38/3; 526/15],[38/3; 142/5],[29/3; 127/5],[29/3; 526/15],C,Toán 12,False
Tìm giá trị lớn nhất M của hàm số f(x) = −x^2 − 4x + 5 trên đoạn [−6; 6],M = 0,M = 9,M = 55,M = 110,C,Toán 12,False
Cho hàm số y=f(x) có đồ thị như hình bên. Giá trị lớn nhất của hàm số này trên đoạn [-2;3] bằng:,2,3,4,5,C,Toán 12,False
Tìm giá trị nhỏ nhất m và giá trị lớn nhất M của hàm số y=f(x) trên đoạn [-2;2],"-5, 0","-5, -1","-1, 0","-2, 2",B,Toán 12,True
Tiếp tuyến của đồ thị hàm số y=x^3−3x+2 vuông góc với đường thẳng y=−1/9x là,"y=−1/9x+18,y=−1/9x+5","y=1/9x+18,y=1/9x−14","y=9x+18,y=9x−14","y=9x+18,y=9x+5",C,Toán 12,True
Cho hàm số y=2/(1-x) có đồ thị hàm số (C). Viết phương trình tiếp tuyến của (C) tại giao điểm của (C) và trục tung.,y=2x+2,y=x+2,y=-2x+2,y=2x-2,A,Toán 12,True
Phương trình tiếp tuyến của đồ thị hàm số y=x^3−3x^2+1 tại điểm A(3;1) là:,y=−9x−26,y=9x−26,y=−9x−3,y=9x+2,B,Toán 12,True
Cho đồ thị hàm số y=1/3x^3−2x^2+3xtìm phương trình tiếp tuyến hệ số góc nhỏ nhất của đồ thị trên.,y=−x+8/3,y=x+8/3,y=−x−8/3,y=x−8/3,A,Toán 12,False
Cho hàm số y = x^3 - 2x^2 + m - 1x + 2m có đồ thị là Cm. Tìm m để tiếp tuyến có hệ số góc nhỏ nhất của đồ thị Cm vuông góc với đường thẳng Δ: y = 3x + 2018.,m = 7/3,m = 1,m = 2,m = -1/3,B,Toán 12,False
"Gọi S là tập hợp các giá trị của hàm số m sao cho đường thẳng y = mx - m - 3 cắt đồ thị y = 2x^3 - 3x^2 - 2 tại ba điểm phân biệt A, B, I mà tiếp tuyến với tại A và tại B vuông góc với nhau. Tính tổng các phần tử của S.",-1,1,2,5,A,Toán 12,True
Cho hàm số y = -x^2 - 4x + 3 có đồ thị (C). Nếu tiếp tuyến tại M của (C) có hệ số góc bằng 8 thì hoành độ điểm M là:,12,-6,-1,5,B,Toán 12,True
Cho hàm số y = -x^4 + 2x^2 - 1. Số giao điểm của đồ thị hàm số với trục Ox là:,1,2,3,4,B,Toán 12,False
Cho hàm số y = x^3 - 3x^2 + 1. Tích các giá trị cực đại và giá trị cực tiểu của hàm số bằng,-6,-3,0,3,B,Toán 12,True
Số đường thẳng đi qua điểm A(0; 3) và tiếp xúc với đồ thị hàm số y = x^4 - 2x^2 + 3 là:,0,1,2,3,D,Toán 12,True
Hàm số đồng biến trên từng khoảng xác định của nó khi:,m > 0,m < 0,m ≠ 1,m > 0,A,Toán 12,False
"Trong các tiếp tuyến tại các điểm trên đồ thị hàm số y = x^3 - 3x^2 + 2, tiếp tuyến có hệ số góc nhỏ nhất bằng:",-3,3,-4,0,A,Toán 12,True
Hàm số y = x<sup>3</sup> - 3x<sup>2</sup> + mx đạt cực tiểu tại x = 2 khi:,m < 0,m > 0,m = 0,m ≠ 0,C,Toán 12,False
Cho hàm số y = x^3 + 3x^2 + 3x + 1 có đồ thị (C) . Phương trình tiếp tuyến của (C) tại giao điểm của (C) với trục tung là:,y = 8x + 1,y = 3x + 1,y = -8x + 1,y = 3x -1,B,Toán 12,False
Hàm số y=(x^2−16)^−5−ln(24−5x−x^2) có tập xác định là:,-8;−4∪3;+∞,-∞;−4∪3;+∞,-8;3∪−4,-4;3,C,Toán 12,True
"Tìm tập nghiệm S của hệ phương trình 3^x = 27.3^y, log(x+2y) = log5 + log3",7;4,4;7,6;3,9;6,A,Toán 12,True
Tìm tất cả các cặp số x; y thỏa mãn 4^x / 2^y = 2 và log2(2x + 2y) = 1.,x; y = 4; 1.,x; y = 2; 3.,x; y = 3; 2.,x; y = 5; 9.,B,Toán 12,False
Cho log2 3 = a; log2 7 = b. Tính log2 2016 theo a và b,5 + 2a + b,5 + 3a + 2b,2 + 2a + 3b,2 + 3a + 2b,A,Toán 12,True
"Cho a, b > 0. Khẳng định nào sau đây đúng?",a^(ln b) = b^(ln a),ln(a*b) = ln a^2 + ln b^2,ln(a/b) = (ln a)/(ln b),ln(sqrt(a*b)) = 1/2 * (ln(sqrt(a)) + ln(sqrt(b))),A,Toán 12,False
Cho số thực x thỏa log2(log8x) = log8(log2x). Tính giá trị P = (log2x)2,P = 3/3,P = √3,P = 27,P = 1/3,C,Toán 12,False
Cho hệ phương trình 6^x - 2.3^y = 2; 6^x * 0.3^y = 12 có nghiệm x; y. Chọn kết luận đúng:,x ∈ Z,x ∈ I,y ∈ Z,y ∈ N,A,Toán 12,False
Giải phương trình 4^x − 6.2^x + 8 = 0,x = 1,x = 0; x = 2,x = 1; x = 2,x = 2,C,Toán 12,False
Gọi x0; y0 là một nghiệm của hệ phương trình x + y = 25 và log2x - log2y = 2. Mệnh đề nào sau đây đúng?,x0 = 4 + y0,x0 = 4 + y0,y0 = 4 + x0,y0 = 4 + x0,A,Toán 12,False
Có bao nhiêu giá trị thực của tham số m để phương trình có đúng 3 nghiệm thực phân biệt.,1,2,3,4,C,Toán 12,False
Tìm tất cả các giá trị thực của tham số m để phương trình sau có hai nghiệm thực phân biệt: log3(1-x^2) + log(1/3)(x+m-4) = 0,-1/4 < m < 0,5 ≤ m ≤ 21/4,5 < m < 21/4,-1/4 ≤ m ≤ 2,C,Toán 12,True
Hỏi phương trình 3.2x + 4.3x + 5.4x = 6.5x có tất cả bao nhiêu nghiệm thực?,2,4,1,3,C,Toán 12,False
Hỏi sau bao nhiêu năm số dầu dự trữ của nước A sẽ gần như hết (còn nhưng không đủ dùng cho năm tới)?,39 năm,38 năm,40 năm,41 năm,D,Toán 12,False
Hàm số y = log2(4x−2x+m) có tập xác định D = R khi:,m>1/4,m>0,m≥1/4,m<1/4,A,Toán 12,True
Tìm tích tất cả các nghiệm của phương trình 4.3log100x2 + 9.4log10x = 13.6(1 + logx),100,10,1,1/10,C,Toán 12,True
Cho 0 < α < 1. Tìm tập hợp X các giá trị của x thỏa mãn x logα(αx) ≥ (αx)4,X = 0; 1/α,X = [α4; 1/α],X = [α4; 1/α],X = [α4; +∞],C,Toán 12,False
Cho hàm số f(x) = x^(1+1/2log4x) + 8^(1/3logx^2) + 1 với 0 < x ≠ 1. Tính giá trị của biểu thức ,P = 2016,P = 1009,P = 2018,P = 20182,C,Toán 12,False
Tìm I = ∫lnxdx,xlnx - x + C,xlnx + C,xlnx + x + C,1/x + C,A,Toán 12,False
Diện tích hình phẳng giới hạn bởi y = (x - 6)² và y = 6x - x² là:,9,9/2,0,Kết quả khác,A,Toán 12,True
"Tính thể tích vật thể tròn xoay quanh trục Oy sinh bởi hình phẳng giới hạn bởi các đường y = 2, y = 4 , y = x^2/2 .",12π,-12π,16π,-16π,A,Toán 12,False
Nếu logx - 5log3 = -2 thì x bằng,"0,8","0,81","1,25","2,43",D,Toán 12,True
Giải bất phương trình 2x + 2x + 1 ≤ 3x + 3x - 1,x ≤ 2,x ≤ -2,x ≥ 2,x ≥ -2,C,Toán 12,False
Quay đường cong nào sau đây quanh trục đối xứng của nó ta sẽ được một mặt cầu?,Elip,Parabol,Đường tròn,Nửa đường tròn,C,Toán 12,True
Cho mặt cầu (S) có tâm O bán kính R và đường thẳng d. Nếu d và (S) không có điểm chung thì:,d > R,d < R,d = R,d ≤ R,A,Toán 12,False
Cho hai đường thẳng d và d’ cắt nhau tại điểm O và góc giữa hai đường thẳng là α. Quay đường thẳng d’ quanh d thì ta được mặt nón có góc ở đỉnh bằng:,2α,α,α/2,4α,A,Toán 12,True
Chọn mệnh đề sai:,Điểm không thuộc khối cầu thì không thuộc mặt cầu.,Điểm nằm ngoài mặt cầu thì không thuộc khối cầu.,Điểm không thuộc mặt cầu thì có thể nằm ngoài hoặc nằm trong mặt cầu nên các điểm nằm trong mặt cầu vẫn thuộc khối cầu.,Điểm nằm trong mặt cầu thì thuộc khối cầu.,C,Toán 12,False
Chọn mệnh đề đúng:,Mặt phẳng cắt mặt cầu là mặt phẳng kính.,Mặt phẳng chứa đường kính của mặt cầu là mặt phẳng kính.,Mặt phẳng tiếp xúc với mặt cầu là mặt phẳng kính.,Mặt phẳng không đi qua điểm nao thuộc mặt cầu là mặt phẳng kính.,B,Toán 12,False
Công thức tính bán kính mặt cầu ngoại tiếp hình chóp có cạnh bên vuông góc với đáy là:,r^2 + h^2/4,r^2 + h^2/2,r^2 - h^2/4,r^2 + h^2/4,A,Toán 12,False
Trục đa giác đáy là đường thẳng vuông góc với mặt phẳng đáy tại:,Đỉnh đa giác đáy.,Trực tâm đa giác đáy,Trọng tâm đa giác đáy,Tâm đường tròn đáy,D,Toán 12,False
"Trong không gian, tập hợp các điểm cách đều hai đầu mút của đoạn thẳng là:",Đường trung trực của đoạn thẳng,Trung điểm của đoạn thẳng,Mặt phẳng trung trực của đoạn thẳng,Đường tròn đường kính là đoạn thẳng đó.,C,Toán 12,False
"Cho hình nón có các kích thước r=1 cm, l=2 cm với r, l lần lượt là bán kính đáy và độ dài đường sinh hình nón. Diện tích toàn phần hình nón là:",2π cm^2,4π cm^2,3π cm^2,6π cm^2,C,Toán 12,False
"Cho tam giác ABC vuông tại A, AH là đường cao. Khi quay các cạnh của tam giác ABC quanh cạnh BC thì số hình nón được tạo thành là mấy hình?",1,0,3,2,D,Toán 12,True
"Cho hình nón tròn xoay có đường cao h = 40 cm, bán kính đáy r = 50 cm. một thiết diện đi qua đỉnh của hình nón có khoảng cách từ tâm của đáy đến mặt phẳng chứa thiết diện là 24 cm. Tính diện tích của thiết diện",800 cm^2,1200 cm^2,1600 cm^2,2000 cm^2,D,Toán 12,False
"Cho hình nón tròn xoay có đường cao h = 40 cm, bán kính đáy r = 50 cm. một thiết diện đi qua đỉnh của hình nón có khoảng cách từ tâm của đáy đến mặt phẳng chứa thiết diện là 24 cm. Tính diện tích của thiết diện",800,1200,1600,2000,D,Toán 12,False
"Một hình nón đỉnh S có bán kính đáy bằng 2a√3, góc ở đỉnh là 120°. Thiết diện qua đỉnh của hình nón là một tam giác. Diện tích lớn nhất Smax của thiết diện đó là bao nhiêu?",8a^2,4a^2√2,4a^2,16a^2,A,Toán 12,True
Hình trụ (H) có diện tích xung quanh là 6π(cm²) và thể tích khối trụ là 9π(cm³). Chiều cao của hình lăng trụ là :,1(cm),3(cm),1/2 (cm),2(cm),A,Toán 12,True
Cho hình nón tròn xoay có đường cao 12cm và đường kính đáy 10cm. Độ dài đường sinh của hình nón là :,√119 (cm) ,17(cm) ,15(cm) ,13(cm),C,Toán 12,True
Một hình trụ có bán kính đáy bằng a và có thiết diện qua trục là một hình chữ nhật có diện tích là 2a^2 . Diện tích xung quanh của hình trụ là :,4πa^2,3πa^2,2πa^2,πa^2,C,Toán 12,True
Cho khối trụ có diện tích toàn phần là 6πa<sup>2</sup> và thể tích là 2πa<sup>3</sup>. Bán kính đáy của hình trụ là :,3a/2 ,a ,2a/3 ,2a,A,Toán 12,False
"Cho hình chóp S.ABC có đáy ABC là tam giác vuông đỉnh A và BC = a. Cạnh bên SB vuông góc với mặt phẳng (ABC), SC tại với mặt phẳng (ABC) một góc là 60°. Bán kính mặt cầu ngoại tiếp hình chóp là :",a√3 ,a√2 ,a√3/2 ,a,D,Toán 12,True
Một cái tháp khổng lồ có thân là hình trụ và mái là một nửa hình cầu. Người ta muốn sơn toàn bộ mặt ngoài của thắp (kể cả mái). Tính diện tích S cần sơn (làm tròn đến mét vuông).,8243 (m²),11762 (m²),12667 (m²),23524 (m²),A,Toán 12,False
Cho hàm số có ∫0^9 f(x)dx = 9. Tính ∫0^3 f(3x)dx.,∫0^3 f(3x)dx = 3,∫0^3 f(3x)dx = 27,∫0^3 f(3x)dx = -3,∫0^3 f(3x)dx = 1,A,Toán 12,False
Cho F(x) là một nguyên hàm của hàm số f(x) = 1/(2x - 1). Biết F(1) = 2. Giá trị của F(e + 1)/2 là,3/2,3,-3/2,5/2,D,Toán 12,True
Cho hàm số xác định và liên tục trên thỏa mãn  +  =2+1. Giá trị  bằng,5/3,10/9,5/9,10/3,B,Toán 12,True
Cho hình phẳng D giới hạn bởi đường cong y=2x−x^2 và trục hoành. Tính thể tích V của khối tròn xoay tạo thành khi quay D quanh trục hoành.,16π/15,11π/15,12π/15,4π/15,A,Toán 12,True
"Để tính ∫x ln(2+x) dx theo phương pháp nguyên hàm từng phần, ta đặt","u = ln(x+2), dv = x dx","u = x ln(x+2), dv = ln(x+2) dx","u = x, dv = ln(x+2) dx","u = ln(x+2), dv = dx",A,Toán 12,False
"Cho tích phân I = ∫(ln x + ex) / x dx = e^a - b, giá trị của a + 2b bằng",3,3/2,5/2,2,D,Toán 12,True
"Một hoa văn trang trí được tạo ra từ một miếng bìa mỏng hình vuông cạnh bằng cm bằng cách khoét đi bốn phần bằng nhau có hình dạng parabol như hình bên. Biết A B = 3cm, O H = 4 cm. Tính diện tích bề mặt hoa văn đó.",140/3 cm^2,160/3 cm^2,14/3 cm^2,50 cm^2,A,Toán 12,False
"Trong không gian với hệ tọa độ O; i→; j→; k→, cho hai vec tơ a→ = 2; -1; 4, b→ = i→ - 3k→. Tính",-11,-13,5,-10,D,Toán 12,True
"Trong không gian với hệ tọa độ Oxyz, cho đường thẳng d: x=1, y=2+3t, z=5−t. Véc tơ nào dưới đây là vec tơ chỉ phương của d?",0;3;-1,1;3;-1,1;-3;-1,1;2;5,A,Toán 12,False
Cho hai vec tơ u → −2;3;1 và v → = 1;1;1. Khi đó số thực m = u → . v → thỏa mãn:,m = 0,m ∈ 0;2,m ∈ −2;0,m ∈ 1;3,D,Toán 12,False
"Trong không gian Oxyz, cho điểm M thỏa mãn hệ thức OM→=2i→+j→. Tọa độ điểm M là:",2;1;0,2;1;0,2;0;1,0;2;1,B,Toán 12,True
"Trong không gian với hệ trục Oxyz, mặt phẳng đi qua điểm A và song song với mặt phẳng P là:",2x-y+3z+7=0,2x+y-3z+7=0,2x+y+3z+7=0,2x-y+3z-7=0,A,Toán 12,False
"Trong không gian với hệ tọa độ Oxyz, đường thẳng Δ : x/1 = y/1 = z/2 vuông góc với mặt phẳng nào trong các mặt phẳng sau?",x+y+z=0,x+y-z=0,x+y+2z=0,x+y-2z=0,C,Toán 12,True
"Trong không gian với hệ tọa Oxyz, cho điểm A(2;-3;5). Tọa độ điểm A’ là đối xứng của điểm A qua trục Oz là:",2;-3;5,-2;-3;-5,-2;3;5,-2;-3;5,C,Toán 12,False
"Trong không gian với hệ tọa độ Oxyz, mặt phẳng (P) qua điểm A và vuông góc với hai mặt phẳng α : x+3=0, β : z-2=0 có phương trình là:",y+3=0,y-2=0,2y-3=0,2x-3=0,A,Toán 12,True
"Trong không gian với hệ tọa độ Oxyz, gọi M, N, P lần lượt là hình chiếu vuông góc của A lên các trục Ox, Oy, Oz. Mặt phẳng đi qua A và song song với mặt phẳng (MNP) có phương trình là:",x−2y+2z−2=0,x−2y+2z−6=0,x−2y−4=0,x+2z−4=0,B,Toán 12,True
"Trong không gian với hệ tọa độ Oxyz, gọi α là mặt phẳng chứa đường thẳng Δ có phương trình x−2=1, y−1=1, z=2 và vuông góc với mặt phẳng β: x+y−2z−1=0. Giao tuyến của α và β đi qua điểm nào trong các điểm sau:",2;1;1,1;2;1,2;1;0,0;1;0,A,Toán 12,True
"Trong không gian với hệ tọa độ Oxyz, viết phương trình mặt phẳng (P) song song và cách đều hai đường thẳng d1: x−2= y1= z1 và d2: x2= y−1= z−1",2x−2z+1=0,2y−2z+1=0,2x−2y+1=0,2y−2z−1=0,B,Toán 12,True
"Tọa độ trọng tâm tam giác AOB với A(1;2;-1), B(2;1;0) là:",1;1;-1,-1;1;-1,1;1;-1/3,3;3;-1,C,Toán 12,True
"Trong không gian với hệ tọa độ Oxyz, cho hai điểm A(-2;3;1) và B(5;6;2). Đường thẳng AB cắt mặt phẳng (Oxz) tại điểm M. Tính tỉ số AM/BM",1/2,2,1/3,3,A,Toán 12,True
"Trong không gian với hệ tọa độ Oxyz, gọi Δ là giao tuyến của hai mặt phẳng x−y+3z−1=0 và 3x−7z+2=0. Một vec tơ chỉ phương của Δ là:",7;16;3,7;0;-3,-4;1;-3,0;-16;3,A,Toán 12,True
"Trong không gian với hệ tọa độ Oxyz, phương trình nào dưới đây là phương trình mặt cầu có tâm I và tiếp xúc với mặt phẳng P: x-2y-2z-8=0",x^2+2,x^2-2y+2z=3,x^2-2y+2z=9,x^2+2y-2z=9,C,Toán 12,False
"Trong không gian với hệ tọa độ Oxyz, cho vec tơ a → và b → = 2a →. Tìm tọa độ của vec tơ b → ",2;4;2,2;-4;0,3;0;2,2;4;0,B,Toán 12,True
"Trong không gian với hệ tọa độ Oxyz, cho mặt phẳng α: x−y+2z+1=0 và đường thẳng Δ: x=1;y=2;z−1−1. Góc giữa đường thẳng Δ và mặt phẳng α bằng:",30°,60°,150°,120°,A,Toán 12,True
"Trong không gian với hệ tọa độ Oxyz, cho mặt phẳng 2x+y=0. Trong bốn mặt phẳng sau, mặt phẳng nào vuông góc với mặt phẳng (P)?",x-2y+z-1=0,2x-y+z-1=0,x-y+z-1=0,-2x-y=0,A,Toán 12,True
"Trong không gian với hệ trục tọa độ Oxyz, cho điểm A(2;3;0), B(0;-√2;0) và đường thẳng d: x=t, y=0, z=2-t. Điểm C thuộc d sao cho chu vi tam giác ABC là nhỏ nhất thì độ dài CM bằng",2√3,4,2,2√6/5,C,Toán 12,True
"Trong không gian với hệ tọa độ Oxyz, cho mặt cầu S: x² + y² + z² + 6x - 4z + 9 - m² = 0. Gọi T là tập các giá trị của m để mặt cầu (S) tiếp xúc với mặt phẳng (Oyz). Tích các giá trị của m trong T bằng:",-5,5,0,4,A,Toán 12,True
"Trong không gian Oxyz , cho hình bình hành ABDC với A(0;0;0), B(1;-2;3), D(3;1;-4). Tọa độ của điểm C là:",4;-1;-1,2;3;-7,3/2; 1/2; -2,-2;-3;7,B,Toán 12,True
"Trong không gian Oxyz, cho mặt cầu (S) có phương trình là: (x - 1)2 + (y + 2)2 + (z + 3)2 = 25. Tìm tọa độ tâm I và bán kính R của mặt cầu (S)",I(1; -2; -3); R = 5,I(-1; 2; 3); R = 5,I(-1; 2; 3); R = 25,I(1; -2; -3); R = 5,D,Toán 12,False
