,Câu hỏi,A,B,C,D,Answer,Grade
301,Phía đông dãy Trường Sơn lại mưa nhiều hơn phía tây dãy Trường Sơn do đâu?,"Khí hậu nhiệt đới ẩm, giáp biển, ảnh hưởng gió Mậu dịch.","Khí hậu nhiệt đới ẩm, giáp biển, ảnh hưởng gió Tây ôn đới.","Khí hậu nhiệt đới ẩm, giáp biển, ảnh hưởng gió Đông cực.","Khí hậu nhiệt đới ẩm, giáp biển, ảnh hưởng gió Tín phong.",A,Địa lý 7
303,Tại sao diện tích rừng A-ma-dôn đang bị suy giảm?,Thiếu nước để tưới tiêu.,Tình trạng hoang mạc hóa lan rộng.,Khí hậu nóng lên.,"Khai phá rừng lấy gỗ, đất canh tác, làm giao thông, cháy rừng.",C,Địa lý 7
304,Nền văn hóa Mỹ La-tinh ra đời do đâu?,Người gốc bản địa Anh-điêng với người gốc Phi.,Người gốc Phi với người gốc Tây Ban Nha và Bồ Đào Nha.,"Người Tây Ban Nha, Bồ Đào Nha với người gốc bản địa Anh-điêng.","Người gốc Tây Ban Nha, Bồ Đào Nha với người gốc Phi và người Anh-điêng.",D,Địa lý 7
305,Lễ hội Ca-na-van ở Trung và Nam Mỹ chủ yếu diễn ra hằng năm ở nước nào?,Bra-xin.,Ác-hen-ti-na.,Bô-li-vi-a.,Cô-lôm-bi-a.,A,Địa lý 7
306,Đặc điểm nào sau đây không phải đặc điểm tự nhiên Trung và Nam Mỹ?,Thiên nhiên phân hóa theo chiều Bắc - Nam.,Thiên nhiên phân hóa theo chiều Đông Tây.,Thiên nhiên thay đổi theo chiều cao.,Thiên nhiên thay đổi theo hướng địa hình.,D,Địa lý 7
307,Khu vực rừng A-ma-dôn tập chung chủ yếu ở những quốc gia nào?,Pê-ru và Bô-li-vi-a.,Bra-xin và Cô-lôm-bi-a.,Braxin và Pê-ru.,Vê-nê-du-ê-la và Cô-lôm-bi-a.,B,Địa lý 7
308,Đới thiên nhiên ôn hòa ở Bắc Mỹ phân bố ở,Từ 60^{o}$B trở lên vùng cực.,Diện tích lớn ở phía Nam Hoa Kỳ.,Có diện tích lớn gồm phía nam Ca-na-da và lãnh thổ Hoa Kỳ.,Ven biển.,C,Địa lý 7
309,Sự phân hóa thiên nhiên Trung và Nam Mỹ không phải do yếu tố nào gây ra?,Vĩ độ.,Địa hình.,Khí hậu.,Con người.,D,Địa lý 7
310,Băng hiện nay ở Nam Cực Có xu hướng,mỏng dần.,dày thêm.,mở rộng về phía Xích đạo.,mở rộng về phía cực Nam.,A,Địa lý 7
311,Cri-xtô-phơ Cô-lôm-bộ đã thực hiện bao nhiêu cuộc hải trình đến châu Mỹ,1.,2.,3.,4.,D,Địa lý 7
312,Tại sao đô thị hóa ở Trung và Nam Mỹ mang tính tự phát?,"Không xuất phát từ phát triển công nghiệp, chủ yếu là di dân.","Công nghiệp phát triển mạnh, gia tăng dân số nhanh.","Thành phần chủng tộc đa dạng, ngôn ngữ phong phú.",Tình trạng di dân đông nhất trên thế giới.,A,Địa lý 7
313,"Ý nào không đúng về đặc điểm sông, hồ Bắc Mỹ",Mi-xi-xi-pi là hệ thống sông lớn nhất Bắc Mỹ.,Có nhiều hồ.,Vùng Hồ Lớn nằm ở Hoa Kỳ.,Hồ tập trung nhiều ở phía nam.,D,Địa lý 7
314,Châu Mỹ có diện tích tự nhiên xếp thứ mấy so với các châu lục khác trên thế giới?,1.,2.,3.,4.,B,Địa lý 7
315,"Trong khu vực Đông Nam Á, tính đến năm 2002, dân số nước ta đứng vào hàng thứ mấy",1,2,3,4,C,Địa lý 9
316,Dân số đông và tăng nhanh gây ra những hậu quả xấu đối với:,"Sự phát triển kinh tế, chất lượng cuộc sống.","Môi Trường, chất lượng cuộc sống.",Chất lượng cuộc sống và các vấn đề khác.,"Sự phát triển kinh tế, chất lượng cuộc sống; tài nguyên môi trường.",D,Địa lý 9
317,Dân số nước ta năm 2002 là,70 Triệu người,"74,5 triệu người","79,7 triệu người",81 triệu người,C,Địa lý 9
318,Dân số nước đứng vào hàng thứ mấy so với dân số thế giới (năm 2002),12,13,14,15,C,Địa lý 9
319,Dân số nước ta thuộc vào hàng các nước,Ít dân số trên thế giới,Trung bình dân số trên thế giới,Đông dân trên thế giới,Tăng chậm so với thế giới,C,Địa lý 9
320,Mỗi năm dân số nước ta tăng thêm khoảng,1 triệu người,"1,5 triệu người",2 triệu người,"2,5 triệu người",A,Địa lý 9
321,Điều nào sau đây không đúng về đặc điểm phân bố dân cư nước ta,Dân cư tập trung đông đúc ở khu vực thành thị,"Dân cư tập trung đông ở khu vực đồng bằng, ven biển",Đồng bằng sông Hồng có mật độ dân cư cao nhất nước ta,Tây Nguyên có mật độ dân số thấp,A,Địa lý 9
322,Quốc gia đông dân nhất thế giới là:,Hoa Kỳ,Trung Quốc,Liên Bang Nga,Canađa.,B,Địa lý 9
323,"Trên thế giới, nước ta nằm trong số các nước có mật độ dân số :",Thấp,Trung Bình,Cao,Rất cao,C,Địa lý 9
324,Năm 2003 số dân sống  trong các đô thị chiếm khoảng :,24%,25%,26 %,27 %,C,Địa lý 9
325,Hãy cho biết dân cư tập trung đông đúc ở các vùng nào ?,Đồng bằng,Ven biển,Các đô thị,"Cả A, B, C, đều đúng",D,Địa lý 9
326,"Dựa vào Atlat trang 15, hãy cho biết những đô thị nào có quy mô dân số trên 1 triệu người","Hà Nội. Hải Phòng, Thành phố HCM .","Hà Nội, Đà Nẵng, Thành Phố Hồ Chí Minh","Huế, Đà Nẵng, Cần Thơ","Thành  Phố HCM, Đồng Nai, Bà Rịa Vũng Tàu",A,Địa lý 9
327,Đặc điểm nào đúng với nguồn lao động nước ta,"Dồi dào, tăng nhanh",Tăng Chậm,Hầu như không tăng,"Dồi dào, tăng chậm",A,Địa lý 9
328,"Phân theo trình độ, nguồn lao động nước ta chủ yếu là:",Đã qua đào tạo,Lao động trình độ cao,Lao động đơn giản,Tất cả chưa qua đào tạo.,C,Địa lý 9
329,Nguyên nhân dẫn đến nguồn lao động thất nghiệp nhiều là:,Nguồn lao động tăng nhanh,"Các nhà máy, xí nghiệp còn ít",Các cơ sở đào tạo chưa nhiều,Tất cả các ý trên.,D,Địa lý 9
330,Mặt  mạnh của lao động Việt Nam là :,Có nhiều kinh nghiệm trong sản xuất nông –lâm – ngư – nghiệp,Có khả năng tiếp thu khoa học kĩ thuật .,Chất lượng nguồn lao động đang được cải thiện .,"Cả A , B , C , đều đúng",D,Địa lý 9
331,"Trong giai đoạn 1989 -2003, lao động nước ta chủ yếu hoạt động trong các ngành kinh tế nào",Nông – Lâm – Ngư Nghiệp,Công nghiệp Xây dựng,Dịch vụ,Cả 3 nghành trên,A,Địa lý 9
332,Cơ cấu lao động phân theo ngành kinh tế đang có sự chuyển dịch theo hướng:,"Giảm tỷ trọng ngành nông, lâm, ngư nghiệp, tăng tỷ trọng các ngành công nghiệp và dịch vụ.","Giảm tỉ trọng lao động trong ngành nông, lâm, ngư nghiệp, tăng tỉ trọng lao độgn trong ngành công nghiệp và dịch vụ.",Giảm tỷ trọng trong tất cả các nghành.,Tăng tỷ trọng trong tất cả các nghành.,A,Địa lý 9
333,Cả nước hình thành các vùng kinh tế năng động thể hiện:,Sự chuyển dịch cơ cấu GDP của nền kinh tế.,Sự chuyển dịch cơ cấu thành phần kinh tế.,Sự chuyển dịch cơ cấu ngành kinh tế.,Sự chuyển dịch cơ cấu lãnh thổ kinh tế.,D,Địa lý 9
334,"Trong cơ cấu GDP của nước ta, ngành dịch vụ có đặc điểm:",Chiếm tỉ trọng thấp nhất nhưng có xu hướng tăng lên.,Chiếm tỉ trọng cao nhất nhưng có xu hướng giảm xuống.,chiếm tỉ trọng cao nhưng xu hướng còn biến động.,"Tỉ trọng cao hơn nông –lâm- ngư nghiệp, nhưng còn thấp hơn công nghiệp, xây dựng và ít biến động.",A,Địa lý 9
335,Nền kinh tế nước ta bước vào giai đoạn đổi mới từ khi nào?,1930,1945,1975,1986.,D,Địa lý 9
336,Sự đổi mới nền kinh tế biểu hiện qua việc tăng mạnh tỷ trọng:,Nông nghiệp,Công nghiệp – xây dựng,Dịch vụ,"Câu B, C đúng.",D,Địa lý 9
337,"Ngoài những thử thách trong nước, ta đang phải đối mặt với thử thách từ bên ngoài là:",Du nhập lao động,"Du nhập máy móc, thiết bị",Du nhập hàng hoá,Sự đầu tư.,C,Địa lý 9
338,Biểu hiện nào sau đây thể hiện sự chuyển dịch cơ cấu kinh tế theo lãnh thổ?,"Giảm tỉ trọng khu vực nông, lâm, ngư nghiệp.",Trong nông nghiệp đã hình thành các vùng chuyên canh.,Kinh tế cá thể được thùa nhận và ngày càng phát triển.,Công nghiệp là ngành có tốc độ phát triển nhanh nhất.,B,Địa lý 9
339,Tài nguyên sinh vật có ảnh hưởng lớn đến nông nghiệp vì:,Cây trồng và vật nuôi là đối tượng hoạt đọng của nông nghiệp.,Sinh vật là tư liệu sản xuất không thể thay thế được của nông nghiệp.,Đây là nguồn cung cấp hữu cơ để tăng độ phì cho đất.,Thực vật là nguồn thức ăn quan trọng phục vụ chăn nuôi.,A,Địa lý 9
340,Tư liệu sản xuất không thể thay thế được của ngành nông nghiệp là:,Đất đai,Khí hậu,Nước,Sinh vật,A,Địa lý 9
341,Nhân tố quyết định đến sự phát triển và phân bố nông nghiệp là:,nhân tố kinh tế – xã hội,Sự phát triển công nghiệp,Yếu tố thị trường,Tất cả các yếu tố trên.,A,Địa lý 9
342,Loại đất chiếm diện tích lớn nhất nước ta là:,Phù sa,Mùn núi cao,Feralit,Đất cát ven biển.,C,Địa lý 9
343,Biện pháp quan trọng hàng đầu trong thâm canh nông nghiệp nước ta là:,Chọn lọc lai tạo giống,Sử dụng phân bón thích hợp,Tăng cường thuỷ lợi,"Cải tạo đất, mở rộng diện tích.",C,Địa lý 9
344,Nước ta có thể trồng từ 2 đến 3 vụ lúa và rau trong môt năm là nhờ:,Có nhiều diện tích đất phù sa.,Có khí hậu nhiệt đới ẩm gió mùa.,"Có mạng lưới sông ngòi, ao,hồ dày đặc.",Có nguồn sinh vật phong phú.,B,Địa lý 9
345,Cơ cấu nông nghiệp nước ta đang thay đổi theo hướng:,"Tăng tỉ trọng của ngành chăn nuôi, giảm tỉ trọng ngành trồng trọt.","Tăng tỉ trọng cây cây lương thực, giảm tỉ trọng cây công nghiệp.","Tăng tỉ trọng cây công nghiệp hàng năm, giảm tỉ trọng cây công nghiệp lâu năm.","Tăng tỉ trọng cây lúa, giảm tỉ trọng cây hoa màu.",A,Địa lý 9
346,Gạo là mặt hàng nông sản xuất khẩu mà nước ta đang:,Dẫn đầu thế giới.,Xếp thứ hai thế giới.,Xếp thứ tư thế giới.,Xếp thứ năm thế giới.,B,Địa lý 9
347,Đây là một trong những tác động của việc đẩy mạnh trồng cây công nghiệp,Diện tích đât trồng bị thu hẹp,Đã đảm bảo được nguồn lương thực cung cấp cho người dân,Phá được chế độ độc canh trong nông nghiệp.,Diện tích rừng bị thu hẹp.,B,Địa lý 9
348,Đông Nam Bộ đang dẫn đầu cả nước về diện tích:,Cây điều,Cây hồ tiêu,Đậu tương,Cả ba loại,A,Địa lý 9
349,Ở nước ta chăn nuôi chiếm tỉ trọng thấp trong nông nghiệp nguyên nhân chủ yếu là:,Nước ta đất hẹp người đông nên chăn nuôi khó phát triển.,"Không có nhiều đồng cỏ, nguồn thức ăn còn thiếu.","Giống gia súc, gia cầm có chất lượng thấp.",Cơ sở vật chất cho chăn nuôi còn yếu kém,D,Địa lý 9
350,Hiện nay vùng phát triển ngành thủy sản mạnh nhất nước ta là,Đồng bằng sông Hồng,Đồng bằng sông Cửu Long,Duyên hải Nam Trung Bộ,Cả ba vùng trên,B,Địa lý 9
351,Loại rừng nào có thế tiến hành khai thác gỗ đi đôi với trồng mới?,Rừng sản xuất.,Rừng phòng hộ.,Rừng đặc dụng.,Tất cả các loại rừng trên.,A,Địa lý 9
352,Lâm nghiệp có vị trí đặc biệt trong phát triển kinh tế - xã hội và có vai trò:,Cung cấp nguyên liệu cho các ngành công nghiệp.,Giữ gìn môi trường sinh thái.,Bảo vệ con người và động vật.,Thúc đẩy sự phát triển ngành chăn nuôi.,B,Địa lý 9
353,Nước ta gồm những loại rừng nào?,"Rừng sản xuất, rừng sinh thái và rừng phòng hộ","Rừng phòng hộ, rừng nguyên sinh và rừng đặc dụng","Rừng đặc dụng, rừng phòng hộ và rừng sản xuất","Rừng sản xuất, rừng quốc gia và rừng phòng hộ",C,Địa lý 9
354,Cung cấp gỗ cho công nghiệp chế biến gỗ và cho sản xuất là:,Rừng sản xuất,Rừng đặc dụng,Rừng nguyên sinh,Rừng phòng hộ,A,Địa lý 9
355,Các dòng sông chính trong vùng là,"Sông Vàm Cỏ Đông, Vàm Cỏ Tây, sông Sài Gòn","Sông Biên Hòa, sông Sài Gòn, sông Đồng Nam","Sông Đồng Nai, sông Bé, sông Sài Gòn","Sông Đồng Nai,  sông Bé, sông Biên Hòa",C,Địa lý 9
356,Tỉnh nào sau đây không thuộc vùng Đông Nam Bộ,Thành phố Hồ Chí Minh,BÌnh Dương,Long An,Tây Ninh,C,Địa lý 9
357,"Đông Nam Bộ bao gồm bao nhiêu tỉnh, thành phố?",5,6,7,8,B,Địa lý 9
358,"Tỉnh, thành phố trực thuộc trung ương của vùng Đông Nam Bộ:","Bình Dương, Bình Phước.",TP Hồ Chí Minh,"Tây Ninh, Đồng Nai.","Đồng Nai, Bình Dương.",B,Địa lý 9
359,Hai loại đất chiếm diện tích lớn nhất ở Đông Nam Bộ là:,Đát xám và đất phù sa,Đất badan và đất feralit,Đất phù sa và đất feralit,Đất badan và đất xám,D,Địa lý 9
360,Các hồ nước nhân tạo quan trọng cho thủy lợi và thủy điện trong vùng Đông Nam Bộ là,Hồ Ba Bể và hồ Lắk,Hồ Dầu Tiếng và hồ Trị An,Hộ Thác Bà và hồ Đa Nhim,Hồ Yaly và hồ Dầu Tiếng,B,Địa lý 9
361,"Trong cơ cấu kinh tế của vùng, ngành chiếm tỷ trọng nhỏ nhất là:",Nông – lâm – ngư nghiệp.,"Công nghiệp, xây dựng.",Dịch vụ.,Không có ngành nào.,A,Địa lý 9
362,Cây trồng quan trọng nhất của vùng là,Hạt điều,Hồ tiêu,Cà phê,Cao su,D,Địa lý 9
363,Các ngành công nghiệp hiện đại đã hình thành và phát triển ở Đông Nam Bộ là:,"Dệt – may, da- giầy, gốm sứ.","Dầu khí, phân bón, năng lượng.","Chế biến lương thực- thực phẩm, cơ khí.","Dầu khí, điện tử, công nghệ cao.",D,Địa lý 9
364,Cây công nghiệp lâu năm được trồng nhiều nhất ở Đông Nam Bộ là:,Điều,Cà phê,Cao su,Hồ tiêu,C,Địa lý 9
365,Vấn đề quan trọng hàng đầu trong việc đẩy mạnh thâm canh cây trồng ở Đông Nam Bộ là:,Thủy lợi,Phân bón,Bảo vệ rừng đầu nguồn,Phòng chống sâu bệnh,A,Địa lý 9
366,Tỷ lệ dầu thô khai thác ở Đông Nam Bộ so với cả nước chiếm:,30 %,45 %,90 %,100 %,D,Địa lý 9
367,Ý nào không đúng về đặc điểm ngành dịch vụ vùng Đông Nam Bộ,Thành phố Hồ Chí Minh là đầu mối giao thông quan trọng nhất của vùng,Vùng nhận được đầu tư nước ngoài chiếm tỉ lệ cao nhất cả nước,Cao su là mặt hàng xuất khẩu mang lại giá trị cao nhất,dầu thô mang lại giá trị kinh tế cao nhất.,C,Địa lý 9
368,Trung tâm du lịch lớn nhất của ĐNB và cả nước là:,Vũng Tàu,TP Hồ Chí Minh.,Đà Lạt,Nha Trang,B,Địa lý 9
369,Trung tâm du lịch lớn nhất của Đông Nam Bộ và cả nước là:,Là trung tâm kinh tế phía Nam.,Gần nhiều vùng giàu tiềm năng.,Gần trung tâm các nước Đông Nam Á.,Nền nông nghiệp tiên tiến nhất.,D,Địa lý 9
370,Đông Nam Bộ có thể phát triển nhanh không phải là nhờ:,Vũng Tàu,TP Hồ Chí Minh,Đà Lạt,Nha Trang,B,Địa lý 9
371,Đầu mối giao thông vận tải hàng đầu của Đông Nam Bộ và cả nước là:,Dệt may,Điện,Hoá chất,Khai thác dầu.,A,Địa lý 9
372,Những ngành công nghiệp sử dụng nhiều lao động là:,Dầu thô,Thực phẩm chế biến,Than đá,Hàng nông sản,C,Địa lý 9
373,Mặt hàng không phải xuất khẩu hàng đầu của Đông Nam Bộ là:,Chỉ có hai tỉnh và thành phố giáp biển (TP HCM và Bà Rịa – Vũng Tàu),"Đất đai kém màu mỡ, thời tiết thất thường","Ít khoáng sản, rừng và tăng nguy cơ ô nhiễm môi trường.",Tài nguyên sinh vật hạn chế và có nguy cơ suy thoái,C,Địa lý 9
